trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint,_ingested_at
5242_1,05:30:00,05:30:00,8220GA00459,1,Brides Glen,0,1,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:33:37,05:33:37,8220GA00469,2,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:34:54,05:34:54,8220GA00455,3,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:35:52,05:35:52,8220GA00452,4,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:37:00,05:37:00,8220GA00481,5,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:40:41,05:40:41,8220GA00467,6,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:43:00,05:43:00,8220GA00471,7,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:46:06,05:46:06,8220GA00034,8,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:49:03,05:49:03,8220GA00035,9,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:51:21,05:51:21,8220GA00441,10,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:54:00,05:54:00,8220GA00058,11,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:56:17,05:56:17,8220GA00062,12,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:57:48,05:57:48,8220GA00071,13,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,05:59:49,05:59:49,8220GA00074,14,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:02:00,06:02:00,8220GA00084,15,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:03:05,06:03:05,8220GA00276,16,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:04:43,06:04:43,8220GA00279,17,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:06:37,06:06:37,8250GA00282,18,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:09:00,06:09:00,8250GA00287,19,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:10:40,06:10:40,8250GA00292,20,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:12:21,06:12:21,8250GA00296,21,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:14:12,06:14:12,8250GA00298,22,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:15:00,06:15:00,8250GA00294,23,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:17:12,06:17:12,8250GA00311,24,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:18:47,06:18:47,8250GA00314,25,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:20:30,06:20:30,8250GA00317,26,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:22:04,06:22:04,8250GA00320,27,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:24:43,06:24:43,8250GA00323,28,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:27:00,06:27:00,8250GA00326,29,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:29:52,06:29:52,8250GA00330,30,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:31:56,06:31:56,8250GA00333,31,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_1,06:33:00,06:33:00,8250GA00335,32,,1,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:30:00,06:30:00,8220GA00459,1,Brides Glen,0,1,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:34:08,06:34:08,8220GA00469,2,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:35:36,06:35:36,8220GA00455,3,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:36:43,06:36:43,8220GA00452,4,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:38:00,06:38:00,8220GA00481,5,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:44:09,06:44:09,8220GA00467,6,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:48:00,06:48:00,8220GA00471,7,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:52:14,06:52:14,8220GA00034,8,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:56:15,06:56:15,8220GA00035,9,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,06:59:23,06:59:23,8220GA00441,10,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:03:00,07:03:00,8220GA00058,11,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:05:17,07:05:17,8220GA00062,12,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:06:48,07:06:48,8220GA00071,13,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:08:49,07:08:49,8220GA00074,14,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:11:00,07:11:00,8220GA00084,15,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:12:05,07:12:05,8220GA00276,16,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:13:43,07:13:43,8220GA00279,17,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:15:37,07:15:37,8250GA00282,18,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:18:00,07:18:00,8250GA00287,19,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:19:40,07:19:40,8250GA00292,20,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:21:21,07:21:21,8250GA00296,21,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:23:12,07:23:12,8250GA00298,22,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:24:00,07:24:00,8250GA00294,23,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:26:12,07:26:12,8250GA00311,24,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:27:47,07:27:47,8250GA00314,25,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:29:30,07:29:30,8250GA00317,26,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:31:04,07:31:04,8250GA00320,27,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:33:43,07:33:43,8250GA00323,28,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:36:00,07:36:00,8250GA00326,29,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:38:52,07:38:52,8250GA00330,30,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:40:56,07:40:56,8250GA00333,31,,0,0,1,2026-06-26T14:46:20.559964+00:00
5242_10,07:42:00,07:42:00,8250GA00335,32,,1,0,1,2026-06-26T14:46:20.559964+00:00
5242_100,08:00:00,08:00:00,8220GA00459,1,Brides Glen,0,1,1,2026-06-26T14:46:20.559964+00:00
