stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,_ingested_at
7010B158131,158131,Ulsterbus Depot,,54.996629,-7.317866,,,,,2026-06-26T14:46:10.260735+00:00
7010B158241,158241,Magee Campus,,55.002956,-7.322545,,,,,2026-06-26T14:46:10.260735+00:00
7020IR0037,0,Lisburn,,54.513863,-6.045132,,,,,2026-06-26T14:46:10.260735+00:00
7020IR2162,0,Belfast,,54.594684,-5.939831,,,,,2026-06-26T14:46:10.260735+00:00
7040B107131,107131,Cullaville,,54.0620448123748,-6.64352516920916,,,,,2026-06-26T14:46:10.260735+00:00
7040B139481,139481,Newry,,54.168253,-6.339098,,,,,2026-06-26T14:46:10.260735+00:00
7040B139491,139491,Buttercrane SC,,54.172871,-6.340996,,,,,2026-06-26T14:46:10.260735+00:00
7040B139501,139501,Newry,,54.172227,-6.340441,,,,,2026-06-26T14:46:10.260735+00:00
7040B139511,139511,Newry,,54.168692,-6.339019,,,,,2026-06-26T14:46:10.260735+00:00
7040B139761,139761,Killeen Br,,54.131009,-6.346082,,,,,2026-06-26T14:46:10.260735+00:00
7040B139771,139771,Killeen Br,,54.131023,-6.346479,,,,,2026-06-26T14:46:10.260735+00:00
7040B139781,139781,Meigh Cross,,54.115863,-6.357129,,,,,2026-06-26T14:46:10.260735+00:00
7040B139791,139791,Meigh Cross,,54.115892,-6.357279,,,,,2026-06-26T14:46:10.260735+00:00
7040B150611,150611,Regional College,,54.176486,-6.34535,,,,,2026-06-26T14:46:10.260735+00:00
7040B156051,156051,Newry,,54.176002,-6.339467,,,,,2026-06-26T14:46:10.260735+00:00
7040B156061,156061,Newry Bus Station,,54.174999,-6.340145,,,,,2026-06-26T14:46:10.260735+00:00
7040IR0042,0,Newry,,54.188659,-6.362413,,,,,2026-06-26T14:46:10.260735+00:00
7040IR0045,0,Portadown,,54.424993,-6.445312,,,,,2026-06-26T14:46:10.260735+00:00
7040IR0090,0,Lurgan,,54.467011,-6.338528,,,,,2026-06-26T14:46:10.260735+00:00
7050B108081,108081,Enniskillen,,54.343694,-7.640079,,,,,2026-06-26T14:46:10.260735+00:00
7050B140871,140871,Derrylin,,54.191672,-7.565929,,,,,2026-06-26T14:46:10.260735+00:00
7050B1409001,140901,Bellanaleck,,54.2950047241065,-7.63801510677572,,,,,2026-06-26T14:46:10.260735+00:00
7050B141541,141541,Belleek,,54.476171,-8.094502,,,,,2026-06-26T14:46:10.260735+00:00
7050B1415501,141551,Bellanaleck,,54.2950580826928,-7.63783030428049,,,,,2026-06-26T14:46:10.260735+00:00
7050B141561,141561,Derrylin,,54.191678,-7.565736,,,,,2026-06-26T14:46:10.260735+00:00
7050B630091,630091,Letterbreen,,54.309287,-7.732686,,,,,2026-06-26T14:46:10.260735+00:00
7050B630101,630101,Letterbreen,,54.309493,-7.732162,,,,,2026-06-26T14:46:10.260735+00:00
7050B6310001,631001,Belcoo,,54.297258,-7.869896,,,,,2026-06-26T14:46:10.260735+00:00
7050B631071,631071,Loughview Drive,,54.297374,-7.870114,,,,,2026-06-26T14:46:10.260735+00:00
7060B152481,152481,Sion Mills,,54.784312,-7.471637,,,,,2026-06-26T14:46:10.260735+00:00
7060B156031,156031,Ballygawley,,54.456349,-7.033901,,,,,2026-06-26T14:46:10.260735+00:00
7060B157111,157111,Newtownstewart,,54.721891,-7.372982,,,,,2026-06-26T14:46:10.260735+00:00
7060B158031,158031,Ulsterbus Depot,,54.601343,-7.30175,,,,,2026-06-26T14:46:10.260735+00:00
7060B1581001,158101,Newtownstewart,,54.721774,-7.373015,,,,,2026-06-26T14:46:10.260735+00:00
7060B158121,158121,Bradley Way,,54.826507,-7.47009,,,,,2026-06-26T14:46:10.260735+00:00
7060B1581401,158141,Sion Mills,,54.785779,-7.472348,,,,,2026-06-26T14:46:10.260735+00:00
7060B158181,158181,Canal Street,,54.8277460618064,-7.46378639704708,,,,,2026-06-26T14:46:10.260735+00:00
821000005,12324,Carlow Inst,,52.8191,-6.94496,,,,,2026-06-26T14:46:10.260735+00:00
821000007,351871,Leighlinbridge,,52.736693,-6.975816,,,,,2026-06-26T14:46:10.260735+00:00
821000008,13228,Leighlinbridge,,52.7365,-6.97598,,,,,2026-06-26T14:46:10.260735+00:00
821000009,351831,Bagenalstown West,,52.7005,-6.96598,,,,,2026-06-26T14:46:10.260735+00:00
821000010,351821,Bagenalstown West,,52.70052,-6.96478,,,,,2026-06-26T14:46:10.260735+00:00
8210B0351841,351841,Royal Oak,,52.70218,-6.98459,,,,,2026-06-26T14:46:10.260735+00:00
8210B111621,111621,St Patrick's Avenue,,52.837124,-6.91467,,,,,2026-06-26T14:46:10.260735+00:00
8210B111891,111891,Sleaty Road,,52.844148,-6.939762,,,,,2026-06-26T14:46:10.260735+00:00
8210B1340201,134021,Hacketstown,,52.865375,-6.558453,,,,,2026-06-26T14:46:10.260735+00:00
8210B136061,136061,SETU Carlow,,52.8299811805242,-6.93597455431291,,,,,2026-06-26T14:46:10.260735+00:00
8210B136211,136211,Rathvilly,,52.8805507014169,-6.69556191940628,,,,,2026-06-26T14:46:10.260735+00:00
8210B136231,136231,Hacketstown,,52.865221,-6.558399,,,,,2026-06-26T14:46:10.260735+00:00
8210B153991,153991,Tullow North,,52.80482,-6.732506,,,,,2026-06-26T14:46:10.260735+00:00
8210B154001,154001,Tullow North,,52.804658,-6.732496,,,,,2026-06-26T14:46:10.260735+00:00
8210B202101,202101,Wexford Rd BP,,52.820615,-6.897133,,,,,2026-06-26T14:46:10.260735+00:00
8210B3355701,335571,Carlow Bus Stn,,52.833738,-6.926948,,,,,2026-06-26T14:46:10.260735+00:00
8210B3511401,351141,Rathvilly,,52.8806191573759,-6.69524785426883,,,,,2026-06-26T14:46:10.260735+00:00
8210B3511801,351181,Kildavin,,52.683916,-6.685386,,,,,2026-06-26T14:46:10.260735+00:00
8210B351711,351711,Ballon,,52.740188,-6.7704,,,,,2026-06-26T14:46:10.260735+00:00
8210B351721,351721,Ballon,,52.740087,-6.770225,,,,,2026-06-26T14:46:10.260735+00:00
8210B5981201,598121,SETU Carlow,,52.830054,-6.936121,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11091,201001,Carlow Inst,,52.819187,-6.94511,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11092,11092,Carraig Abhainn,,52.825857,-6.937188,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11093,110931,Bourlum Wood,,52.823409,-6.935764,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11094,110941,SETU Green Road,,52.825497,-6.934096,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11095,110951,New Street,,52.829729,-6.93095,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11096,110961,Hanover Road,,52.831403,-6.929143,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11098,110981,Fire Station,,52.83703,-6.92286,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11099,110991,Green Lane,,52.841239,-6.917605,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11100,111001,Deerpark Rnbt,,52.845026,-6.910029,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11101,111011,Enterprise B Pk,,52.840432,-6.909015,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11102,201041,Sandhills,,52.839602,-6.904687,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11103,201051,Burrindale,,52.841719,-6.902289,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11104,111041,Beechwood Park,,52.844729,-6.899318,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11105,201061,Tinteán Coille,,52.846753,-6.895674,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11106,201111,MSD Carlow,,52.854254,-6.884615,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11108,111231,Tinteán Coille,,52.846705,-6.895259,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11109,111091,Beechwood Park,,52.844924,-6.898986,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11110,111101,Burrindale,,52.84195,-6.902001,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11111,111241,Sandhills,,52.839411,-6.907423,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11112,111121,Enterprise B Pk,,52.840884,-6.909271,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11113,111131,Deerpark Rnbt,,52.844784,-6.910183,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11114,111141,Green Lane,,52.84178,-6.916849,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11115,111151,Fire Station,,52.83698,-6.922727,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11117,111171,Hanover Road,,52.831857,-6.928657,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11118,111181,New Street,,52.829034,-6.931546,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11119,111191,SETU Green Road,,52.825738,-6.933882,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11120,111201,Bourlum Wood,,52.823008,-6.9361,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11121,111211,Carraig Abhainn,,52.825967,-6.937364,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11122,111221,Rath Abhainn,,52.822572,-6.941705,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11123,201011,Carlow Inst,,52.819176383642,-6.94491773727636,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11125,111251,Sleaty Road,,52.844,-6.939655,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11126,111261,Sleaty Street,,52.840491,-6.938241,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11127,113911,Maryborough Street,,52.837085,-6.938369,,,,,2026-06-26T14:46:10.260735+00:00
8210CO11128,111281,Carlow Cstl,,52.836621,-6.935753,,,,,2026-06-26T14:46:10.260735+00:00
